Transaction_ID,Customer_Age,Gender,Product_Category,Purchase_Amount,Discount_Applied,Payment_Method,Delivery_Days,Rating
10001,56,Male,Home & Kitchen,290.5,0,Credit Card,5,3
10002,46,Female,Beauty,40.47,0,Debit Card,4,5
10003,32,Male,Electronics,40.1,5,Net Banking,5,2
10004,60,Male,Apparel,118.91,15,Credit Card,3,4
10005,25,Male,Apparel,201.24,0,Debit Card,4,5
10006,38,Female,Electronics,287.47,0,UPI,5,4
10007,56,Female,Home & Kitchen,100.99,20,UPI,3,4
10008,36,Male,Apparel,40.68,15,Credit Card,4,2
10009,40,Male,Apparel,15.67,0,Debit Card,6,3
10010,28,Female,Apparel,107.58,15,Credit Card,4,2
10011,28,Male,Electronics,63.13,5,Credit Card,2,5
10012,41,Male,Beauty,45.88,10,Debit Card,3,5
10013,53,Female,Apparel,163.94,0,Debit Card,5,5
10014,57,Other,Beauty,17.66,20,Net Banking,3,2
10015,41,Male,Home & Kitchen,54.1,5,Debit Card,2,4
10016,20,Female,Apparel,10.74,15,UPI,4,4
10017,39,Female,Apparel,51.1,5,Credit Card,4,1
10018,19,Male,Home & Kitchen,13.77,0,Credit Card,5,5
10019,41,Female,Apparel,18.22,15,UPI,3,4
10020,61,Male,Beauty,18.13,10,Debit Card,7,1
10021,47,Female,Electronics,78.09,5,UPI,4,4
10022,55,Female,Beauty,99.09,0,UPI,5,5
10023,19,Female,Electronics,66.91,20,Net Banking,2,3
10024,38,Male,Electronics,222.86,15,UPI,9,5
10025,50,Female,Beauty,40.54,5,Credit Card,2,2
10026,29,Male,Beauty,31.87,5,UPI,1,4
10027,39,Male,Beauty,141.92,10,Credit Card,3,4
10028,61,Male,Beauty,26.45,10,Credit Card,6,2
10029,42,Female,Home & Kitchen,224.69,20,Credit Card,1,2
10030,44,Female,Apparel,10.79,20,Debit Card,2,3
10031,59,Male,Electronics,237.66,0,Net Banking,8,4
10032,45,Female,Beauty,12.87,0,Credit Card,7,4
10033,33,Male,Beauty,154.15,20,Credit Card,3,3
10034,32,Female,Beauty,58.76,20,Debit Card,1,1
10035,64,Male,Home & Kitchen,332.19,15,Credit Card,6,3
10036,61,Female,Beauty,14.98,10,UPI,4,5
10037,20,Male,Beauty,62.46,0,UPI,5,4
10038,54,Female,Beauty,236.43,10,Net Banking,3,2
10039,24,Male,Apparel,58.13,10,Credit Card,3,5
10040,38,Male,Home & Kitchen,74.52,20,Debit Card,5,4
10041,26,Male,Beauty,87.34,15,UPI,5,3
10042,56,Female,Electronics,49.4,5,Debit Card,4,5
10043,35,Female,Electronics,74.2,15,Debit Card,6,4
10044,21,Male,Electronics,67.06,15,UPI,3,1
10045,42,Female,Home & Kitchen,160.43,10,Debit Card,4,1
10046,31,Female,Home & Kitchen,13.02,15,UPI,2,2
10047,26,Female,Electronics,31.44,0,Debit Card,7,4
10048,43,Female,Beauty,205.26,10,UPI,10,1
10049,19,Male,Home & Kitchen,153.63,0,Credit Card,4,3
10050,37,Male,Electronics,49.53,5,Net Banking,4,4
10051,45,Female,Electronics,72.92,10,UPI,3,3
10052,64,Female,Beauty,31.12,5,UPI,5,3
10053,24,Female,Apparel,23.55,10,Net Banking,5,1
10054,61,Male,Home & Kitchen,50.5,20,UPI,5,4
10055,25,Male,Beauty,38.34,15,UPI,2,5
10056,64,Female,Electronics,66.96,20,Debit Card,2,1
10057,52,Female,Electronics,15.26,5,Net Banking,5,1
10058,31,Female,Beauty,248.22,15,Credit Card,2,4
10059,34,Female,Home & Kitchen,288.45,10,UPI,1,4
10060,53,Female,Apparel,87.86,15,Net Banking,6,3
10061,57,Male,Apparel,59.93,0,Debit Card,4,4
10062,21,Male,Electronics,34.07,15,Credit Card,3,3
10063,19,Female,Home & Kitchen,119.26,0,Net Banking,5,1
10064,23,Female,Apparel,85.03,15,Credit Card,5,2
10065,59,Male,Home & Kitchen,21.54,0,Credit Card,1,5
